Module,Sign,logFC,AxeExpr,t,P,adjP,Z,Count
M00024,Neg,-3.35592015004812,0.9276755823510074,-5.207062806948864,5.168831128334588e-06,1.7404602325271943e-05,-4.902837889031442,5
M00025,Neg,-3.5279336002178923,1.2048931737948068,-5.567190454399411,8.792436483685079e-07,3.4264631639409406e-06,-5.183784510726548,5
M00026,Neg,-4.1766608689076605,4.32807292784923,-6.159490006962139,1.2047616125608201e-08,7.570276777793031e-08,-5.69905103178782,1
M00027,Neg,-2.59743512514299,-0.617539124000625,-3.77835832048792,0.000250644608460211,0.0006809734737212611,-3.6616003891933704,1
M00027,Pos,5.85221430577867,3.85394978426823,9.689262383275599,3.2621367216314803e-15,1.35992516879196e-13,7.8804463477937805,1
M00028,Neg,-2.8464633104330965,1.9211680513264267,-3.43244430986496,0.0016581864697735335,0.0038532708270244444,-3.334094472449737,3
M00029,Neg,-4.9106558244883995,3.72266090361764,-7.391338968142815,5.062832640757326e-11,6.089453218605884e-10,-6.654329910435266,2
M00030,Neg,-4.53509286961039,3.79564651410357,-6.62507605305034,1.8190524957590603e-09,1.39929891390037e-08,-6.013192109602111,1
M00032,Neg,-4.53509286961039,3.79564651410357,-6.62507605305034,1.8190524957590603e-09,1.39929891390037e-08,-6.013192109602111,1
M00033,Neg,-3.21560181499372,6.47935094894307,-6.43144780684998,7.240729459368759e-09,4.8069020743103895e-08,-5.785243668988251,1
M00034,Neg,-3.7413570465146777,1.5648718770610637,-5.616935139167661,6.588941260335532e-07,2.578635802354646e-06,-5.288608704149431,6
M00035,Neg,-4.24935289752499,7.010029570858,-7.8839738390717695,3.8154666769728504e-10,3.6524850139811702e-09,-6.26139582611745,1
M00036,Neg,-3.3985504711865224,2.9712640125369094,-5.9677322640940975,0.00025988296262732113,0.0006614599337397434,-4.85128373984286,4
M00040,Neg,-3.5425534677196606,2.41987237223726,-4.85377642122949,3.30174495256164e-06,1.23421896085648e-05,-4.651096673740049,1
M00045,Neg,-2.5219464056650502,3.7270250095900135,-3.4817917005096497,0.002874842279597166,0.006204428233752671,-3.3735299829730967,3
M00047,Neg,-3.83722185698229,0.890845908200593,-4.8873444849374295,4.573430147571859e-06,1.67117706711933e-05,-4.58346063504,1
M00048,Neg,-4.18649533269641,4.075110389567083,-7.23610749758466,2.557590263454189e-05,6.952342572687929e-05,-6.0437824217096665,10
M00049,Pos,2.02043730246824,12.9466116265679,9.39248447395021,1.6480208408891099e-15,7.44831371324015e-14,7.96531600233539,1
M00050,Pos,2.18260834424888,11.169357467342277,10.065563746295405,8.243282694647602e-16,3.7282319656317763e-14,8.42546404103911,2
M00051,Neg,-4.160235982123971,2.23764239515842,-6.1168629865587105,1.1708896146281598e-08,7.393386051976201e-08,-5.703911390531711,1
M00051,Pos,3.3383623307100803,9.00364826112632,11.933422015141302,3.61360245510002e-21,1.07768743987868e-18,9.443259351600231,1
M00053,Neg,-4.7318821927332,1.76274318572557,-7.66784834446654,7.76454456251183e-12,1.29754910641631e-10,-6.84282691701129,1
M00053,Pos,2.3659316213306467,9.10518226880144,8.337962031717913,7.981900482257214e-08,3.760125858921519e-07,7.140802374889364,3
M00060,Neg,-4.577417564511383,3.4157519126573126,-6.9436288284437255,1.2905546122491553e-08,7.206300844431226e-08,-6.194036903727884,8
M00061,Neg,-3.78343376951441,2.0632425712296,-4.91792304380496,5.53271639750812e-06,1.9314152489032108e-05,-4.649633723596,2
M00063,Neg,-3.6836607836726536,1.93284199826509,-5.601218693151694,0.0001059407997805601,0.00028444606731001406,-5.2376087957229664,3
M00064,Neg,-3.0220395540399934,0.7968637335964387,-4.69212659882153,8.958924947921696e-05,0.0002488897159533046,-4.49892027669073,3
M00076,Neg,-4.527638457148376,2.863692405697775,-6.640127127716494,2.780547424948558e-09,2.0047163870171674e-08,-5.995934811200845,2
M00077,Neg,-4.527638457148376,2.863692405697775,-6.640127127716494,2.780547424948558e-09,2.0047163870171674e-08,-5.995934811200845,2
M00078,Neg,-3.488772381014865,1.149978845772109,-5.150126963553534,0.00015748913835441456,0.00042314612862011164,-4.729923520332711,2
M00079,Neg,-3.94837622220396,5.57239480307921,-6.13449201017515,2.06126293937379e-08,1.2239199411374901e-07,-5.60677924385892,1
M00080,Neg,-3.2276253531303647,1.1628165353188504,-5.33985455943527,1.9619787331398242e-06,7.329489595279604e-06,-5.003589365825935,2
M00081,Neg,-2.16381411471909,-1.4209458792083898,-3.81734368553017,0.000235634585149435,0.000643348793397436,-3.6773878884589304,1
M00082,Neg,-3.58495173592562,5.698901180282007,-5.41285338909146,3.200436796341978e-05,9.434013922822576e-05,-5.024442813579595,4
