Module,Sign,logFC,AxeExpr,t,P,adjP,Z,Count
M00159,Neg,-2.2677306675,5.487732207,-3.575557688,0.0007688419999999999,0.0046360795,-3.408509799,2
M00165,Neg,-2.4216561433333332,6.053861863333332,-4.216418612666667,0.0007578199999999999,0.004131536333333333,-3.9276715373333335,3
M00167,Neg,-2.4216561433333332,6.053861863333332,-4.216418612666667,0.0007578199999999999,0.004131536333333333,-3.9276715373333335,3
M00170,Pos,2.234920099,11.42455025,7.116812372999999,2.9499999999999996e-10,1.3e-08,6.3014112970000005,1
M00173,Neg,-2.343024328857143,4.594682755714286,-3.3123067251428573,0.0022230778571428575,0.010880787999999999,-3.191319188857143,7
M00173,Pos,2.8874142669999996,7.175030091,5.603920458499999,8.100835000000001e-06,9.10395e-05,5.169604738,2
M00174,Neg,-3.0035951069999998,3.2031728060000004,-4.474380727,1.7899999999999998e-05,0.00019733200000000001,-4.29019342,1
M00178,Neg,-2.6189942385,8.16586079,-7.01251579625,5.392710033249999e-05,0.00041329703099999995,-5.33149127225,4
M00179,Neg,-3.1492022110000004,9.881533782,-12.59910287,1.33e-12,1.2399999999999999e-10,-7.090945187000001,1
M00188,Neg,-3.137866377,5.3445470125000005,-5.1843680985,3.1065e-06,4.2550000000000004e-05,-4.7525000405,2
M00190,Neg,-2.9610221059999997,3.240978549333333,-5.208039296,0.00022682702743333336,0.00143395675,-4.795877779333334,3
M00193,Pos,3.131041188,-0.7035011554999999,4.483080748,0.00097353285,0.005149735999999999,4.263560778,2
M00200,Neg,-2.356799122,8.144300065,-3.642035068,0.00043665,0.0029596009999999996,-3.5168807139999996,1
M00206,Neg,-2.356799122,8.144300065,-3.642035068,0.00043665,0.0029596009999999996,-3.5168807139999996,1
M00209,Neg,-3.8699181410000003,2.9197381415,-6.664960119500001,9.418e-09,2.5329999999999997e-07,-6.021778349,2
M00210,Neg,-2.125936213,3.126524005,-3.4420071130000003,0.00099528,0.005942782,-3.291857494,1
M00211,Pos,3.683552116,1.3441809425,5.213416132000001,1.21e-06,1.8724999999999998e-05,4.962015707,2
M00212,Neg,-2.7806062385,4.0345900295,-4.3308482995,0.001583719,0.007681081500000001,-4.1359907555,2
M00222,Pos,3.5434917649999997,7.2597056295,8.829163664,8.3500474875e-11,3.550103615e-09,7.860303707999999,4
M00223,Pos,5.596655804666667,5.091897009333334,9.874095241333334,1.3066680383333333e-11,7.466711533333333e-10,7.938042918666667,3
M00233,Neg,-2.4995272413333334,2.458781150333333,-3.3728703313333335,0.0011183683333333332,0.0063561676666666666,-3.287426244666667,3
M00242,Neg,-4.013976445,6.0367458743333335,-8.358700108999999,5.019333333333333e-10,1.95e-08,-6.358433012,3
M00243,Neg,-2.96646701,3.256995481,-4.039635643333334,0.0002556226666666667,0.0017090856666666671,-3.9000210669999995,3
M00247,Neg,-2.04817108,4.56966785,-3.290284067,0.001278485,0.007173208,-3.220765952,1
M00255,Neg,-2.391659307,2.408078421,-3.2243088269999998,0.001782172,0.009583191999999999,-3.124318848,1
M00256,Neg,-2.6830790354999996,5.662263598499999,-4.691671487,4.522e-05,0.000398554,-4.4337923555000005,2
