Module,Sign,logFC,AxeExpr,t,P,adjP,Z,Count
M00144,Neg,-2.709822815764364,3.340421104548817,-4.62511660934677,3.918208568901216e-05,0.00018153181045657603,-4.440083391528523,8
M00149,Neg,-2.6151153508048903,5.43821813173655,-5.0210156860388455,1.515346950367545e-06,1.213963699789967e-05,-4.8182010836441105,2
M00150,Pos,2.1448392365557702,7.73742778125041,5.93696818803357,6.223805971016459e-08,8.55662969845065e-07,5.41224900332746,1
M00151,Pos,3.21602650188658,-0.7055765183701921,5.08157181872445,1.2601053663542101e-06,1.05289407443002e-05,4.8459448233051505,1
M00157,Pos,2.50322427122127,11.1908453978202,9.78607016730421,1.15168707403519e-16,1.31326199589248e-14,8.28799986777846,1
M00159,Neg,-2.8326871630422445,5.077855558290318,-5.708448769359987,5.549126320688268e-06,3.04120209788784e-05,-5.361943005072287,6
M00164,Pos,2.50322427122127,11.1908453978202,9.78607016730421,1.15168707403519e-16,1.31326199589248e-14,8.28799986777846,1
M00165,Neg,-2.45029243072059,3.9272224372739526,-4.42440833588789,0.00042289847746681793,0.001125210554634422,-4.251103686117984,4
M00167,Neg,-2.45029243072059,3.9272224372739526,-4.42440833588789,0.00042289847746681793,0.001125210554634422,-4.251103686117984,4
M00169,Neg,-2.509132622637395,6.057949486743705,-5.7579501066271295,4.867445541244135e-06,2.9533924096719915e-05,-5.41025147572521,2
M00171,Neg,-2.2201743658871402,7.8237516571142995,-6.930310768679219,1.57921017241831e-10,4.37328417033272e-09,-6.39751979104609,1
M00172,Neg,-2.509132622637395,6.057949486743705,-5.7579501066271295,4.867445541244135e-06,2.9533924096719915e-05,-5.41025147572521,2
M00173,Neg,-2.3944833982707423,5.372926989467322,-4.932689554901786,7.796586695975024e-05,0.00029243615810620866,-4.709854772572063,10
M00173,Pos,2.1448392365557702,7.73742778125041,5.93696818803357,6.223805971016459e-08,8.55662969845065e-07,5.41224900332746,1
M00183,Pos,3.9595158985014396,8.329731563334649,10.433469012733699,1.59456373620361e-17,2.57588483552558e-15,8.520070393686991,1
M00188,Neg,-2.08080189470994,4.911622387914201,-4.93588161523044,2.08053725923621e-06,1.58161626550172e-05,-4.74543985790274,1
M00190,Neg,-2.402658600872085,3.38022662233044,-4.937124046535075,1.7355631493532744e-05,9.086762389042113e-05,-4.718951218579195,2
M00194,Pos,2.7645092110187797,12.179405245527198,10.3682755706744,2.5061165916678998e-20,1.38803057512806e-17,9.23822858543088,1
M00196,Neg,-3.10723648895645,2.906814998493415,-5.403634499177045,3.507022243848805e-07,3.528227991415365e-06,-5.14845492692988,2
