UID,SID,CST,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB088_W6D1,UAB088,III,3.288125539,2.418756896,1.413299764,0.568201724,0.217483944,0.84135947,1.614897216,2.368366855,3.007087302
UAB088_W7D6,UAB088,III,3.16853549,2.796543807,1.69019608,1.745074792,0.561101384,1.442479769,2.238537858,2.562213137,3.178963717
UAB096_W5D3,UAB096,III,3.060934561,2.772527068,1.702430536,1.751279104,0.658011397,1.217483944,2.272164304,2.621809599,3.115629813
UAB117_W1D6,UAB117,III,3.307051889,1.717670503,1.330413773,1.212187604,0.880241776,-0.384049948,1.472756449,2.012166291,2.367160165
UAB117_W3D6,UAB117,III,3.009374399,2.07842419,1.311753861,1.857935265,1.654176542,-2,1.921166051,1.348304863,2.617597872
UAB117_W5D6,UAB117,III,3.301772655,0.592176757,1.079181246,-2,-0.63638802,-2,0.193124598,1.910090546,2.090381515
UAB117_W8D1,UAB117,III,3.512942949,1.130333768,0.67669361,0.460897843,-1,-0.920818754,0.673020907,2.034187121,2.435458934
UAB117_W9D6,UAB117,III,3.455707259,2.04912495,1.181843588,0.797959644,-2,-1.268411235,0.946943271,2.100801179,2.782618798
UAB122_W4D7,UAB122,III,3.026490364,2.768963515,1.626340367,1.130333768,0.721810615,1.155336037,1.752816431,2.638976192,2.888863264
UAB122_W9D6,UAB122,III,3.171956846,2.815695935,1.835056102,1.782472624,0.551449998,0.996511672,2.189226344,2.627636182,3.077432954
UAB129_W10D2,UAB129,III,2.751524673,3.051232425,1.851869601,1.771587481,1.465382851,1.071882007,1.850033258,2.382038667,2.73603218
UAB129_W3D3,UAB129,III,3.21244118,2.80830147,2.09291705,2.224693595,-2,-2,2.129435298,2.527137335,2.989513889
AYAC02_W9D3,AYAC02,IV,3.219755539,1.837588438,0.474216264,0.037426498,0.292256071,1.385606274,1.222716471,2.781118181,2.513003064
AYAC03_W1D7,AYAC03,IV,3.430587292,3.1002361,1.348304863,1.46834733,1.665580991,0.613841822,1.812913357,2.23852532,3.836783743
AYAC05_W1D6,AYAC05,IV,2.742742408,1.23299611,2.090011024,2.176351758,1.352182518,0.959041392,1.873320602,2.081901526,2.250212565
AYAC05_W5D5,AYAC05,IV,2.264744648,1.896526217,0.878521796,1.28780173,-0.415668776,0.793790385,1.298853076,2.61605099,2.248958512
AYAC05_W7D7,AYAC05,IV,3.312302843,2.576877839,0.408239965,0.309630167,-0.823908741,-1.191114133,0.589949601,2.101980651,2.412865252
EM09_W8D5,EM09,IV,2.971126418,2.330557838,1.505149978,-2,-2,1.527629901,1.367355921,2.263162465,2.406206241
UAB006_W7D7,UAB006,IV,3.048578907,3.001043224,2.40640391,1.58546073,0.424881637,1.396199347,2.274386487,2.733902321,3.17823024
UAB006_W9D7,UAB006,IV,3.047146313,2.828811937,2.081440927,1.564666064,0.715167358,1.269512944,2.2798927,2.756734213,2.90781322
UAB015_W10D7,UAB015,IV,3.245034187,2.892367899,1.661812686,1.639486489,0.552668216,1.271841607,2.289448475,2.51889411,3.3815322
UAB015_W1D5,UAB015,IV,3.473776646,2.793675163,1.472756449,1.120573931,1.049218023,1.029383778,1.8162413,2.545188319,3.668768412
UAB015_W3D1,UAB015,IV,3.575163819,2.613987619,1.004321374,0.645422269,0.716003344,0.374748346,0.92992956,2.435689916,3.563430059
UAB015_W9D4,UAB015,IV,3.393554146,3.005451218,1.639486489,1.359835482,0.694605199,0.998695158,1.936010796,2.511213363,2.934748351
UAB021_W3D7,UAB021,IV,3.443810401,1.336459734,-0.617982957,-0.882728704,-1.958607315,-0.638272164,0.041392685,2.197021283,2.599642943
UAB021_W5D7,UAB021,IV,3.156080988,3.044752936,0.611723308,0.264817823,1.176091259,0.72427587,1.428134794,1.985875357,2.896278136
UAB021_W8D3,UAB021,IV,2.930573634,3.088663303,2.095612141,1.596597096,-0.22475374,1.113943352,2.193444633,2.624770789,2.721159922
UAB022_W10D1,UAB022,IV,3.126969952,2.962751366,2.38961787,1.959994838,0.814247596,1.181843588,2.250607831,2.755062652,2.71367531
