,MT_FC,MT_p,MG_FC,MG_p,Comparison
K05349,-1.39949953,0.05149982,-3.494866085,0.000307826,III_IV
K05350,-2.265647983,0.001174206,-3.694510635,1.43E-05,III_IV
K05351,1.401573785,0.002059144,-0.860838944,0.320864335,III_IV
K05362,0.267971053,0.687606202,-1.120665955,0.366604575,III_IV
K05363,-0.587977792,0.373729967,-2.241708349,0.059945901,III_IV
K05364,-1.210767785,0.034746462,-4.154869212,1.53E-10,III_IV
K05365,0.062409531,0.904880307,0.705956012,0.392184836,III_IV
K05366,-0.416938619,0.006493328,-0.130983862,0.599935189,III_IV
K05367,0.940179401,0.018837279,0.598447605,0.458464459,III_IV
K05368,1.096925141,0.008264442,0.395205836,0.595131328,III_IV
K05372,,,0.430409056,0.556878806,III_IV
K05373,-1.802967375,0.007727719,-2.021130375,0.037080119,III_IV
K05374,,,0.331418018,0.64111378,III_IV
K05375,,,0.348331042,0.631489001,III_IV
K05396,0.804406172,0.042422433,0.682494064,0.405781386,III_IV
K05499,-0.573574619,0.396444242,-4.039050378,2.63E-06,III_IV
K05501,1.34856075,0.001250869,0.380440201,0.593509365,III_IV
K05515,-2.314449036,6.38E-06,-1.223569082,0.141373555,III_IV
K05516,-1.518931695,0.015722362,-2.618736682,0.001790591,III_IV
K05517,1.277008289,0.003322027,0.430509431,0.566430395,III_IV
K05520,1.5019242,0.016098825,-0.877786051,0.432371398,III_IV
K05521,-3.067703257,3.40E-06,-2.205256103,0.011592962,III_IV
K05522,0.368240595,0.526762014,-1.009777546,0.366604575,III_IV
K05523,1.012639244,0.012109132,0.924460953,0.18182742,III_IV
K05524,-0.462659688,0.468916289,-3.753671877,4.83E-08,III_IV
K05526,,,0.236050833,0.729264636,III_IV
K05527,1.190927858,0.005274116,0.124348028,0.857717676,III_IV
K05539,-3.802929182,9.93E-08,-2.278004566,0.00116195,III_IV
K05540,2.348821459,6.64E-16,0.284383297,0.058589073,III_IV
K05541,1.29548674,0.001101622,0.439770343,0.568930831,III_IV
K05556,,,0.62300939,0.408093307,III_IV
K05557,0.952659516,0.017270856,0.770462434,0.484899213,III_IV
K05561,0.785608557,0.046156587,,,III_IV
K05565,0.313611738,0.599972961,0.182985506,0.870664817,III_IV
K05566,0.339196724,0.468054173,0.578718144,0.54649351,III_IV
K05567,1.603971585,0.00070727,0.560756417,0.576668764,III_IV
K05568,0.402728483,0.480144057,-0.201424687,0.857976715,III_IV
K05569,0.746742876,0.119030002,0.434571084,0.65899176,III_IV
K05570,1.166224795,0.008634975,0.80563159,0.397756924,III_IV
K05571,1.234695582,0.008817808,0.434564014,0.65176104,III_IV
K05576,,,0.187748114,0.771836755,III_IV
K05577,1.242704567,0.003671695,0.737169318,0.484799447,III_IV
K05589,-0.026193586,0.955645989,-0.381773702,0.662503712,III_IV
K05590,1.493938963,0.000571724,1.337616026,0.073292118,III_IV
K05591,-3.332794399,1.30E-06,-2.3819479,0.010907983,III_IV
K05592,1.31914231,6.10E-09,2.002823328,2.03E-14,III_IV
K05593,0.87384104,0.114184318,0.423126404,0.688634968,III_IV
K05594,1.372688583,0.001704623,0.274923617,0.685425108,III_IV
K05595,-0.770133144,0.11979622,-2.032482394,0.029659872,III_IV
K05596,,,0.887534433,0.270091021,III_IV
K05601,0.737600897,0.062265941,0.515357345,0.459986682,III_IV
K05603,1.976173915,0.006685211,1.17758667,0.113906574,III_IV
K05606,-2.068351556,0.000913095,-1.958059927,0.01603545,III_IV
K05614,0.037041711,0.93421766,-1.040304657,0.164148283,III_IV
K05616,-1.039393182,0.064638722,-1.9493557,0.00292037,III_IV
K05685,0.798369132,0.051944243,0.710677059,0.376515229,III_IV
K05692,1.226928498,0.021321695,0.42555915,0.557382002,III_IV
K05699,0.85044423,0.037057099,,,III_IV
K05710,1.245747599,0.010485225,-0.924861221,0.117688972,III_IV
K05712,,,0.486447572,0.503444586,III_IV
K05714,0.841389484,0.033363899,,,III_IV
K05775,,,0.278356655,0.691855257,III_IV
K05776,1.083671961,0.006102101,0.425716404,0.586363507,III_IV
K05777,-0.959802919,0.055561855,-1.153837156,0.177974013,III_IV
K05778,,,0.238309625,0.732692831,III_IV
K05779,,,0.333452223,0.634725545,III_IV
K05780,,,0.372369943,0.602642195,III_IV
K05781,,,0.320222445,0.65899176,III_IV
K05782,,,0.231863241,0.727672233,III_IV
K05783,,,0.709025369,0.315023611,III_IV
K05785,,,0.534890505,0.465527202,III_IV
K05786,-0.208205827,0.658158869,-2.065241797,0.010717112,III_IV
K05787,1.582694705,0.001453171,0.426079393,0.546131756,III_IV
K05788,1.213865525,0.004907127,,,III_IV
K05789,1.360705399,0.001271485,0.483826531,0.506992706,III_IV
K05790,1.175069367,0.006153958,0.306371439,0.671701961,III_IV
K05794,1.319986944,0.084660346,0.025569712,0.977731966,III_IV
K05796,-2.588846875,1.35E-05,-1.435079326,0.040466163,III_IV
K05798,,,0.686460899,0.371110136,III_IV
K05799,1.581356434,0.008529595,-2.074990224,0.045175742,III_IV
K05800,,,0.289662141,0.679141639,III_IV
K05801,-2.324153293,0.000246023,-2.700910229,0.001199559,III_IV
K05802,0.972763666,0.02955399,0.674804306,0.454748919,III_IV
K05803,1.537147208,0.002971034,0.741908661,0.337910865,III_IV
K05804,1.278605827,0.002612958,0.400695905,0.587764121,III_IV
K05805,0.980866234,0.016074587,0.235236404,0.727672233,III_IV
K05807,-3.190255282,1.02E-07,-2.059314533,0.033402018,III_IV
K05808,1.454689918,2.65E-07,0.27395245,0.11659984,III_IV
K05809,1.245606312,0.013417247,0.778950723,0.25080454,III_IV
K05810,-2.409969865,3.49E-05,-4.278645955,1.47E-10,III_IV
K05812,,,0.380264876,0.594715787,III_IV
K05813,-2.27937986,0.000386293,-4.004439332,1.67E-06,III_IV
K05814,0.285873611,0.577917888,-3.595193075,6.33E-06,III_IV
K05815,-0.154331944,0.781269894,-2.733703433,0.00098173,III_IV
K05816,,,1.091797135,0.134953816,III_IV
K05817,0.828005184,0.04071944,1.323159062,0.074649933,III_IV
K05818,1.288099289,0.001792405,,,III_IV
K05820,-3.525293401,8.14E-08,-1.870265788,0.011315765,III_IV
K05822,1.297279003,0.016348713,0.627513506,0.529113676,III_IV
K05823,1.918239192,0.004758443,-0.897767136,0.347192955,III_IV
K05832,1.212631725,0.026923756,2.075916109,5.19E-09,III_IV
K05833,-0.009117727,0.985646927,2.314943165,4.41E-10,III_IV
K05834,,,0.336187741,0.634725545,III_IV
K05835,1.438943339,0.001706444,0.695906398,0.49873437,III_IV
K05837,0.756290641,0.031881948,1.188175801,4.91E-09,III_IV
K05838,-1.278973224,0.078342435,-4.863988385,9.24E-10,III_IV
K05841,0.854316985,0.059114554,0.500611383,0.602935595,III_IV
K05844,0.41577186,0.376695454,0.373559678,0.637495753,III_IV
K05845,0.642072875,0.386267087,0.049100615,0.963156957,III_IV
K05846,4.113090382,2.69E-10,1.678303292,0.002205858,III_IV
K05847,3.801865489,1.60E-10,2.342212061,7.23E-06,III_IV
K05851,1.325544957,0.0051248,0.315629732,0.691855257,III_IV
K05873,0.125228104,0.809348615,-0.143878857,0.872665744,III_IV
K05874,1.216897896,0.004328113,0.705388307,0.376874238,III_IV
K05875,1.222099891,0.002506544,0.693714604,0.374595137,III_IV
K05878,1.343170903,0.013212197,2.151815253,8.42E-07,III_IV
K05879,2.67761087,3.95E-05,2.005698631,0.000111505,III_IV
K05880,,,0.453761169,0.557777612,III_IV
K05881,0.059267084,0.911061591,-1.235406566,0.17088953,III_IV
K05882,0.611203582,0.3858473,-1.18848585,0.218871776,III_IV
K05883,1.422861327,0.00103298,0.410573467,0.58305435,III_IV
K05884,-0.3103945,0.693613292,2.276839762,0.033402018,III_IV
K05885,-0.239002549,0.719556849,-0.812852656,0.212449986,III_IV
K05886,0.822220567,0.133502689,0.203435753,0.763425982,III_IV
K05887,,,0.179776951,0.795269608,III_IV
K05895,-2.1010111,0.00022787,-1.815428098,0.035006485,III_IV
K05896,0.342110697,0.41780916,0.14154585,0.63267231,III_IV
K05898,,,0.585613448,0.441084316,III_IV
K05905,-3.672487695,4.45E-09,-2.79205235,0.000235508,III_IV
K05910,3.765664096,4.82E-05,2.081901949,0.01354081,III_IV
K05912,0.845834429,0.024561368,,,III_IV
K05914,0.972844569,0.014899861,,,III_IV
K05915,,,0.455569164,0.544686327,III_IV
K05916,1.305056089,0.017924428,0.652633653,0.535185596,III_IV
K05919,-2.200495747,0.000237669,-2.254807234,0.006814646,III_IV
K05921,1.585123534,0.000126132,-0.036175669,0.96779114,III_IV
K05922,0.352982138,0.478523487,0.301473963,0.658963667,III_IV
K05926,0.761589053,0.052500792,0.170575493,0.857976715,III_IV
K05927,0.684267819,0.08835636,0.439334817,0.53689354,III_IV
K05934,-1.646186487,0.005475092,-2.012621481,0.033494637,III_IV
K05936,-1.219048759,0.052627614,-1.763754299,0.058037951,III_IV
K05937,,,0.306836275,0.702835393,III_IV
K05939,1.167527155,0.006838028,0.62216309,0.489873234,III_IV
K05942,0.599236073,0.158067252,0.196757922,0.809613415,III_IV
K05944,,,0.311666192,0.686742427,III_IV
K05945,-1.687605267,0.012263156,-0.978036784,0.241698421,III_IV
K05946,1.278522029,0.009278852,3.308519,4.56E-18,III_IV
K05949,0.649453076,0.144953238,-1.430578664,0.022556375,III_IV
K05961,,,0.686667331,0.442633466,III_IV
K05964,0.789294401,0.211834433,-0.208035439,0.775619066,III_IV
K05966,0.140443699,0.831180368,0.251389772,0.768770585,III_IV
K05967,0.972761464,0.01840224,-0.501755775,0.541670834,III_IV
K05968,-2.457862757,0.000368691,-2.211612855,0.028985634,III_IV
K05970,-2.919876979,5.65E-06,-2.391309372,0.014814713,III_IV
K05972,0.471554183,0.30155544,0.203841284,0.775619066,III_IV
K05979,0.540729798,0.156650041,-0.947412911,0.163904288,III_IV
K05982,,,0.558864375,0.453859795,III_IV
K05984,,,0.216396695,0.746228574,III_IV
K05985,2.406153669,1.44E-05,2.070362878,7.65E-11,III_IV
K05988,1.521079939,0.000491209,0.654969935,0.393294126,III_IV
K05989,-2.760800881,0.000110943,1.018736031,0.416290252,III_IV
K05991,0.7557091,0.302213852,0.183670542,0.842432298,III_IV
K05992,-4.058828163,1.55E-09,-1.836786825,0.028526051,III_IV
K05993,1.750145707,0.001282639,-0.107735857,0.925536109,III_IV
K05995,-0.195104411,0.753121019,-1.980806981,0.037034046,III_IV
K06001,-3.066810304,6.46E-06,-2.992192758,0.000396345,III_IV
K06006,1.119850962,0.010070921,0.346535628,0.623911081,III_IV
K06011,0.864650878,0.019717997,,,III_IV
K06013,0.979219797,0.01101135,0.443928516,0.541891274,III_IV
K06015,-0.359212561,0.409011338,-0.657904271,0.443504909,III_IV
K06016,0.914669827,0.173024537,0.766900474,0.407148165,III_IV
K06017,-1.927473144,0.000621824,-1.168024733,0.168236228,III_IV
K06019,-0.401838026,0.461288675,-0.501425875,0.594410525,III_IV
K06020,-1.868855826,0.001450524,-3.233357068,1.65E-09,III_IV
K06023,2.73812227,3.31E-10,2.324054494,8.10E-15,III_IV
K06024,1.292685274,0.003291152,0.725559749,0.002677556,III_IV
K06027,-0.738088852,0.351813913,-1.27160649,0.309547146,III_IV
K06036,-1.708114574,0.001258076,-1.77004573,0.048264367,III_IV
K06039,1.162187378,0.004851453,0.353798676,0.612109894,III_IV
K06041,-2.355584641,0.000748477,-1.510704505,0.097547873,III_IV
K06042,-0.44600589,0.427451295,-1.829743418,0.016021112,III_IV
K06044,0.94868004,0.027850762,0.747023931,0.512254153,III_IV
K06048,1.431685357,0.004720646,-2.144054598,0.034923923,III_IV
K06073,1.113345375,0.005469847,0.552217147,0.453580067,III_IV
K06074,,,0.336537884,0.624698647,III_IV
K06075,,,0.472570398,0.515191988,III_IV
K06076,-3.253592514,2.61E-05,-1.851028324,0.060679998,III_IV
K06077,1.381343237,0.001255825,0.342037853,0.62071205,III_IV
K06078,1.630353343,0.001474036,,,III_IV
K06080,,,0.230580559,0.72646598,III_IV
K06113,-2.743950482,4.75E-05,-2.323961703,0.002767884,III_IV
K06118,1.043588184,0.010910651,0.460614784,0.592382182,III_IV
K06119,,,-0.055600232,0.94361875,III_IV
K06120,,,0.044052626,0.953796729,III_IV
K06131,1.217976441,0.006838028,2.024435108,1.18E-14,III_IV
K06132,1.017144283,0.011053179,0.447327383,0.557382002,III_IV
K06133,1.487813434,0.024650294,-0.58761327,0.559252359,III_IV
K06139,-1.441393895,0.006163745,-1.396590691,0.166794208,III_IV
K06140,,,0.341414042,0.627100736,III_IV
K06141,1.564762467,0.000316906,0.360956785,0.620104779,III_IV
K06142,-2.845126902,1.55E-09,-2.131146721,0.029810446,III_IV
K06143,0.968294743,0.013225724,0.35018959,0.63267231,III_IV
K06144,,,0.24971794,0.709679544,III_IV
K06145,1.225533238,0.003675503,0.649694605,0.400189934,III_IV
K06147,0.10332237,0.496246297,-0.721343074,1.74E-07,III_IV
K06148,2.442583663,4.35E-16,1.616548331,5.06E-20,III_IV
K06149,1.4598381,0.001572966,0.340879536,0.641560936,III_IV
K06153,-0.158176032,0.729122294,0.341510562,0.400189934,III_IV
K06155,-2.127901218,0.003264493,-1.859821794,0.035062974,III_IV
K06156,-0.469502883,0.319772031,-1.194794815,0.178453027,III_IV
K06157,,,0.684540277,0.328936566,III_IV
K06158,0.842565138,4.03E-05,0.037723926,0.792136196,III_IV
K06159,1.313343603,0.00316106,0.38355446,0.602139793,III_IV
K06162,,,0.535660353,0.474862157,III_IV
K06163,,,0.422710661,0.568127427,III_IV
K06164,,,0.376107113,0.605950697,III_IV
K06165,,,0.472414693,0.530873146,III_IV
K06166,,,0.396447322,0.579793515,III_IV
K06167,-2.767544765,1.19E-05,-2.63255094,0.001953203,III_IV
K06168,-1.840535551,0.000130123,-3.727949173,1.60E-07,III_IV
K06173,0.911151022,0.038231465,-0.552831379,0.003735838,III_IV
K06175,1.445587542,0.000355949,0.634730769,0.39952349,III_IV
K06176,1.112832916,0.009580004,1.031275913,0.146978207,III_IV
K06177,-2.062476229,0.001418974,-1.999022247,0.037688638,III_IV
K06178,-0.376961675,0.131064478,-0.252370638,0.067487478,III_IV
K06179,-3.095893111,1.10E-06,-1.056423353,0.245941122,III_IV
K06180,0.649896958,0.006817462,0.604129501,5.90E-10,III_IV
K06181,,,0.352359702,0.616958602,III_IV
K06182,-2.238737875,0.000351645,-2.57723016,0.000769876,III_IV
K06183,-1.323504928,0.013294617,-1.057990624,0.048874308,III_IV
K06185,0.995408921,0.023600509,-0.057572602,0.937110952,III_IV
K06186,1.091138345,0.010387405,0.381749593,0.587764121,III_IV
K06187,0.161694136,0.576566094,-0.846708064,8.43E-05,III_IV
K06188,-1.968643868,0.007775817,-4.537722814,1.58E-08,III_IV
K06189,-1.710404655,0.016084495,-2.788139068,0.002198284,III_IV
K06190,1.223813724,0.002465243,0.226307902,0.730944451,III_IV
K06191,-1.562448823,0.023442489,-3.442579801,1.83E-08,III_IV
K06192,1.491151195,0.000900892,0.59511372,0.467694557,III_IV
K06193,1.102009686,0.01611984,-0.010134792,0.99284863,III_IV
K06194,-0.013120415,0.980535604,-0.495459895,0.544908074,III_IV
K06195,0.921137554,0.02090161,,,III_IV
K06196,-0.750743855,0.233395403,-1.74825573,0.051845653,III_IV
K06198,5.173882722,4.58E-13,3.238951129,1.66E-11,III_IV
K06199,-0.502796677,0.360755303,-1.719387568,1.21E-05,III_IV
K06200,-3.209437268,5.88E-10,-2.215216349,0.00544394,III_IV
K06201,-2.582895705,0.000143657,-2.133415352,0.004656906,III_IV
K06203,1.215060752,0.002073462,0.439769661,0.574306512,III_IV
K06204,1.401527923,0.016606887,0.425273457,0.574891159,III_IV
K06205,1.326545112,0.001462792,0.259422039,0.716338872,III_IV
K06206,-1.186621368,0.029813677,-2.591569054,0.001422051,III_IV
K06207,1.206484023,4.09E-11,0.022028813,0.875876425,III_IV
K06209,-1.085089047,0.037670669,-1.423671696,0.056609724,III_IV
K06211,-2.210089719,0.002629899,-1.478857556,0.061177853,III_IV
K06212,-3.257278944,5.10E-06,-2.552723794,0.000448841,III_IV
K06213,-3.317856886,8.48E-09,-2.764056465,0.000705836,III_IV
K06214,,,0.590479023,0.430023036,III_IV
K06215,-2.272951057,8.20E-06,-4.125349892,4.45E-10,III_IV
K06216,0.734461428,0.217721762,1.439825032,0.141063213,III_IV
K06217,1.154774625,2.14E-05,-0.218280876,0.180545052,III_IV
K06218,-1.924765023,0.000530999,-1.984806341,0.026049015,III_IV
K06219,1.187802841,0.004851453,0.292025125,0.672711237,III_IV
K06221,0.093874917,0.894599518,-2.302376167,0.000224118,III_IV
K06222,1.089371778,0.006208639,0.487409212,0.515042366,III_IV
K06223,-0.212801772,0.736150545,-0.951945568,0.339132407,III_IV
K06236,0.263317936,0.571181482,-1.431568593,0.043964756,III_IV
K06237,2.861832203,4.39E-05,5.644025793,5.61E-11,III_IV
K06238,-2.340302283,0.000451992,-2.4360107,0.002096465,III_IV
K06276,,,0.574707075,0.418340522,III_IV
K06281,-0.341437207,0.581497097,-0.682566311,0.59849545,III_IV
K06282,-0.51523235,0.411761129,-1.193489693,0.331773781,III_IV
K06286,4.046915466,6.36E-12,2.35041383,1.82E-10,III_IV
K06287,-2.006093205,0.00187356,-4.688369472,1.39E-10,III_IV
K06298,-2.96655467,2.35E-06,-2.373671128,0.005271837,III_IV
K06306,-1.963239551,0.00083029,-0.396097914,0.669682918,III_IV
K06317,,,0.452634286,0.54649351,III_IV
K06320,1.202973839,0.0025694,,,III_IV
K06330,1.781745934,0.000285428,-2.427422878,0.011739434,III_IV
K06346,-1.623414325,0.000254749,-3.034736392,1.14E-10,III_IV
K06347,,,0.742377704,0.366675661,III_IV
K06350,-1.00016058,0.059607341,-1.679001203,0.026612093,III_IV
K06351,-1.261235726,0.014933179,-1.570078436,0.043703398,III_IV
K06373,-2.595423359,0.000325339,-2.124469891,0.02774459,III_IV
K06374,-1.455069957,0.006403316,-1.890653054,0.01990585,III_IV
K06381,-2.17253685,0.000392036,-1.937446334,0.023720399,III_IV
K06382,0.782189154,0.038447503,,,III_IV
K06385,0.822663689,0.033477025,,,III_IV
K06400,-1.073460518,0.015702923,-2.107841002,0.000562945,III_IV
K06409,-1.743401065,0.004831867,-1.778811535,0.061948598,III_IV
K06412,-3.14919963,3.78E-05,-1.386279433,0.095474083,III_IV
K06413,-0.461066237,0.335741736,-2.135959226,0.011979586,III_IV
K06415,1.354863534,0.002488567,0.218664645,0.763758106,III_IV
K06416,-0.026563076,0.950055409,-1.999578681,0.000655644,III_IV
K06442,0.773509072,0.016374883,-0.409768144,0.020360415,III_IV
K06443,,,0.679042595,0.467952857,III_IV
K06445,1.100060229,0.011755328,0.326830452,0.651298811,III_IV
K06447,,,0.564443484,0.452037004,III_IV
K06471,1.120041876,0.007397132,,,III_IV
K06518,-3.080906927,3.05E-05,-2.311948072,0.007625708,III_IV
K06595,-3.567433405,3.36E-05,-2.701810218,0.003024208,III_IV
K06596,1.692602593,3.14E-05,,,III_IV
K06603,-1.967869219,0.014098047,-1.09996982,0.205677965,III_IV
K06605,0.868441268,0.168612189,-0.657173213,0.516168231,III_IV
K06607,0.756806205,0.11832953,1.70098795,0.031692075,III_IV
K06608,0.528425001,0.185785111,-0.462748423,0.568127427,III_IV
K06609,0.869670999,0.255820803,-0.675969519,0.568127427,III_IV
K06610,0.949768734,0.028176314,1.425937383,0.122309352,III_IV
K06699,1.107944207,0.009567252,,,III_IV
K06714,0.713555064,0.072769926,0.639695639,0.478458255,III_IV
K06726,-0.160167833,0.814117898,-2.260608568,0.003706417,III_IV
K06751,1.228049476,0.00766522,0.653868218,0.37067854,III_IV
K06833,1.692491796,0.004897846,,,III_IV
K06856,,,0.648219379,0.395829683,III_IV
K06858,1.155056847,0.003718707,0.498640957,0.513553847,III_IV
K06860,0.352720641,0.436991681,-1.340040033,0.173193686,III_IV
K06861,-2.763375448,9.66E-06,-2.437750072,0.007733033,III_IV
K06864,-0.060003724,0.918614916,-0.634126515,0.534189382,III_IV
K06866,1.795085197,0.00131149,0.155162388,0.812458075,III_IV
K06867,-0.049122178,0.915651624,-0.127074045,0.894732368,III_IV
K06871,-1.536973354,0.002578871,-3.129315141,0.000206977,III_IV
K06872,-1.726358614,0.008242738,-2.109541585,0.01819973,III_IV
K06877,0.05022397,0.945677947,-0.109978619,0.919032718,III_IV
K06878,2.869508869,3.24E-07,3.008726931,7.88E-16,III_IV
K06879,1.416491025,0.001592787,0.547115797,0.489873234,III_IV
K06881,0.415421851,0.212253263,1.137568505,7.57E-09,III_IV
K06883,0.462647625,0.247802945,-1.640517044,0.052978285,III_IV
K06885,4.501619907,2.10E-13,4.880660126,2.15E-44,III_IV
K06886,1.1948175,0.007465129,0.880472155,0.327219306,III_IV
K06887,1.275187115,0.001496365,0.345145766,0.655484068,III_IV
K06888,1.398062268,0.048033349,-0.487466824,0.607142932,III_IV
K06889,1.518457028,5.65E-06,2.566305143,1.16E-23,III_IV
K06890,-0.561957653,0.097814434,0.062195676,0.812028562,III_IV
K06891,0.714566735,0.176203098,-0.829695883,0.375744286,III_IV
K06892,,,0.598902961,0.403092345,III_IV
K06893,0.692137279,0.082063256,0.142636798,0.843564674,III_IV
K06894,-2.556403584,0.000277078,-1.385597296,0.224585521,III_IV
K06895,-2.400292851,0.000494357,-2.829844693,0.000689647,III_IV
K06896,-2.914520647,1.49E-05,-2.074586621,0.01946359,III_IV
K06898,-1.18640133,0.041596074,-0.768075937,0.418865277,III_IV
K06899,1.679616075,0.000454608,0.403080681,0.592859733,III_IV
K06900,-2.799675482,2.43E-05,-1.062922215,0.171369471,III_IV
K06901,1.032680272,0.000164712,0.933054747,3.72E-11,III_IV
K06902,-1.73652739,0.009077175,-3.184265923,0.000286541,III_IV
K06903,,,0.146991958,0.832618675,III_IV
K06904,0.132389308,0.853653925,2.599936699,0.00718157,III_IV
K06905,0.826631165,0.038304022,-0.238704935,0.746627328,III_IV
K06907,0.77968183,0.079153437,-0.646020724,0.504673561,III_IV
K06908,0.900538584,0.037228382,-0.178482245,0.80185492,III_IV
K06909,-1.697752475,0.004597474,-0.584325766,0.62071205,III_IV
K06910,-1.330042787,0.045809548,-3.591323136,6.57E-08,III_IV
K06911,-0.603917351,0.42472663,-1.743012697,0.109578082,III_IV
K06915,1.304890734,0.065044265,-0.467682562,0.612109894,III_IV
K06916,1.542034045,0.000611032,0.53133481,0.484899213,III_IV
K06917,0.952286871,0.031313291,0.187803436,0.840707225,III_IV
K06918,1.259300532,0.001863032,0.263180839,0.69245312,III_IV
K06919,0.676055836,0.306203383,-1.885338823,0.004250453,III_IV
K06920,-2.965370315,4.02E-06,-2.069848741,0.017814387,III_IV
K06921,-1.656540872,0.008653401,-3.155614693,4.71E-06,III_IV
K06922,,,-0.54918754,0.55735184,III_IV
K06923,-1.6283084,0.001994588,-2.261755444,0.001643893,III_IV
K06924,1.395208431,0.002291157,0.396269396,0.713032446,III_IV
K06925,0.539445964,0.092890918,-0.456334697,0.008929251,III_IV
K06926,-0.850789801,0.143010898,-3.136848885,2.46E-05,III_IV
K06927,0.730436284,0.077658367,-0.494288185,0.63267231,III_IV
K06929,-0.557337435,0.33429142,-0.346156386,0.735321797,III_IV
K06931,0.004690011,0.992133414,-1.555385419,0.085174346,III_IV
K06934,0.983422962,0.021749023,0.598475376,0.493523875,III_IV
K06937,,,0.290133927,0.685911197,III_IV
K06940,0.621303527,0.139806484,0.188915189,0.824409876,III_IV
K06941,-2.668652095,9.54E-07,-3.649324074,5.19E-09,III_IV
K06942,0.481598097,0.012965258,0.126690969,0.332419633,III_IV
K06946,1.015895804,0.059922196,0.080270134,0.937689445,III_IV
K06948,2.522167186,4.24E-09,3.050839522,1.23E-15,III_IV
K06949,0.753050752,0.019717817,0.648865867,0.011349713,III_IV
K06950,0.523346556,0.002485425,1.178600195,3.61E-18,III_IV
K06951,,,-0.072054355,0.91435871,III_IV
K06956,-1.232534442,0.038076336,-0.310047924,0.735175162,III_IV
K06957,1.184882498,0.003424394,0.481702821,0.533913825,III_IV
K06958,1.092607308,0.00040004,0.066485206,0.643897513,III_IV
K06959,-2.200766822,0.00022722,-1.561303624,0.030338598,III_IV
K06960,-1.702746797,0.000706099,-4.226538538,2.11E-14,III_IV
K06962,-0.746514805,0.224005115,-2.654561813,0.000123633,III_IV
K06966,-1.551036765,0.005952727,-3.19455915,3.50E-08,III_IV
K06967,1.984784162,0.000122334,2.077594992,5.32E-13,III_IV
K06968,1.253997752,0.001909717,0.457594774,0.568930831,III_IV
K06969,-2.239700158,0.000100788,-3.193477968,1.07E-05,III_IV
K06970,1.147584919,0.004519215,0.287308634,0.680567129,III_IV
K06971,0.382049004,0.395405793,-1.949743822,0.018862778,III_IV
K06972,-2.682438858,9.76E-07,-1.830168905,0.035572921,III_IV
K06973,-2.759334175,3.62E-05,-1.164502486,0.126831007,III_IV
K06975,-1.033584624,0.070757606,-1.243251632,0.046097601,III_IV
K06976,1.224866993,0.054874011,0.243665892,0.736521743,III_IV
K06977,0.655691399,0.094576678,0.474138072,0.553813006,III_IV
K06978,-1.127163968,0.009768531,-0.075558711,0.938278093,III_IV
K06979,0.54965976,0.270404269,0.763604551,0.478458255,III_IV
K06980,0.72581783,0.266548789,-1.002966594,0.384303,III_IV
K06985,0.592413437,0.124942657,-0.518214997,0.521094369,III_IV
K06986,,,0.714163723,0.487333881,III_IV
K06988,,,0.463879374,0.537261198,III_IV
K06989,0.943749638,0.014953122,0.651035705,0.434293361,III_IV
K06990,0.709858097,0.068490168,-0.430925884,0.585109141,III_IV
K06994,1.229737998,0.117245037,1.330746142,0.107945186,III_IV
K06996,0.817384052,0.042823293,0.458828507,0.62307534,III_IV
K06997,-1.18592725,0.013899946,-3.876178727,2.56E-12,III_IV
K06998,-0.579267832,0.233018009,-0.15416485,0.873215763,III_IV
K06999,-1.280924036,0.061479041,-4.593667571,1.18E-08,III_IV
K07000,-1.622696564,0.01815243,-2.332593601,0.01890837,III_IV
K07001,-1.506169936,0.014932618,-1.846452261,0.036288757,III_IV
K07002,1.232971504,0.002792493,0.641646372,0.449832849,III_IV
K07003,-1.661309581,0.012155509,-2.181113861,0.028992812,III_IV
K07004,-4.09250514,1.62E-07,-2.17810048,0.05133361,III_IV
K07005,1.508111474,0.022753757,-0.912046322,0.389214965,III_IV
K07006,0.002883501,0.994211017,-2.354707778,5.12E-07,III_IV
K07007,-2.233591827,0.000177034,-3.000223607,9.14E-06,III_IV
K07008,1.145618168,0.009351423,0.639892449,0.388747254,III_IV
K07009,1.759569877,0.000749689,0.46275914,0.028991212,III_IV
K07010,-0.303124396,0.603230641,-0.790845068,0.095879958,III_IV
K07011,-1.918224891,0.001262659,-4.333591765,6.20E-09,III_IV
K07012,0.566277482,0.333607351,1.547705633,0.000650616,III_IV
K07014,0.627645582,0.18042127,0.165949944,0.842936461,III_IV
K07015,1.657844647,0.005210744,2.035591876,6.17E-18,III_IV
K07016,-0.891017386,0.067302671,-0.536535299,0.49873437,III_IV
K07017,1.409588081,0.009217097,0.114811205,0.921105016,III_IV
K07019,0.79038286,0.046537022,0.388357279,0.604121816,III_IV
K07020,0.939293145,0.03187109,,,III_IV
K07021,3.870799754,4.69E-14,4.542564709,7.39E-30,III_IV
K07023,4.966235114,3.78E-13,6.171967971,3.14E-28,III_IV
K07024,0.689243991,0.001976776,-0.487343484,0.021021819,III_IV
K07025,0.42319303,0.216995824,0.162206719,0.479903336,III_IV
K07026,,,0.387677516,0.593395822,III_IV
K07027,-0.106456578,0.787384573,-1.281010499,0.00020917,III_IV
K07028,1.078866276,0.088042261,-0.392160507,0.599556466,III_IV
K07029,2.031141605,8.08E-11,-0.295455258,0.056845566,III_IV
