,MT_FC,MT_p,MG_FC,MG_p,Comparison
K00228,1.05017079,0.058866176,0.174068834,0.888733322,I_IV
K00230,1.066712734,0.032837301,-0.058819517,0.967162798,I_IV
K00231,-2.969160125,8.78E-05,-4.653639844,2.69E-10,I_IV
K00232,1.19718998,0.013270748,-0.350694005,0.834245978,I_IV
K00239,-3.215556147,2.51E-07,-6.732940599,8.79E-28,I_IV
K00240,-5.162549354,5.86E-10,-7.14854316,5.74E-27,I_IV
K00241,-4.736836363,3.78E-08,-4.642876338,1.69E-09,I_IV
K00242,,,0.17472814,0.887466758,I_IV
K00243,2.103360291,8.20E-06,1.760141301,6.63E-12,I_IV
K00244,3.877540684,4.25E-14,4.969804772,1.36E-64,I_IV
K00245,0.80369784,0.104576649,0.136413378,0.922291561,I_IV
K00246,0.272277445,0.650306332,-0.019626676,0.989286776,I_IV
K00247,0.784557062,0.11852524,-0.050215326,0.969156537,I_IV
K00248,-4.078303638,1.55E-08,-4.679183252,4.98E-08,I_IV
K00249,0.734638613,0.218932497,-1.82804003,0.036941481,I_IV
K00251,0.081216363,0.879574554,,,I_IV
K00252,1.063655631,0.028015684,-0.181260003,0.917051043,I_IV
K00255,1.12096623,0.016408858,,,I_IV
K00257,-3.704510713,7.78E-09,-5.090405188,5.10E-10,I_IV
K00259,-1.753777996,0.048137424,-3.169784727,6.14E-05,I_IV
K00260,-3.985839589,6.85E-07,-4.984561437,3.55E-09,I_IV
K00261,-2.618048693,4.02E-06,-2.849850888,1.61E-06,I_IV
K00262,-2.940962042,9.24E-07,-7.273561216,7.45E-27,I_IV
K00265,0.887973931,0.355088849,-2.527805195,0.015235716,I_IV
K00266,-3.950567798,2.77E-07,-6.72729166,8.97E-19,I_IV
K00273,0.858057713,0.057480773,,,I_IV
K00274,,,0.024942119,0.98610972,I_IV
K00275,-0.683579233,0.156274505,-1.287375283,0.076793199,I_IV
K00278,-4.681486302,4.02E-09,-7.046302143,1.27E-18,I_IV
K00280,1.184473243,0.108810297,-0.339433727,0.665627287,I_IV
K00281,-0.432472229,0.600271527,-1.667714937,0.081912521,I_IV
K00282,-3.468621636,4.50E-05,-3.528977779,3.64E-07,I_IV
K00283,-2.61432147,0.000404899,-3.915505744,4.02E-08,I_IV
K00284,-4.327175914,2.98E-07,-5.060468945,1.19E-07,I_IV
K00285,0.715482803,0.172478386,-0.05528294,0.972279087,I_IV
K00286,-3.670499566,8.78E-07,-6.318224315,3.46E-26,I_IV
K00287,2.187081423,6.17E-06,-0.28938962,0.174294661,I_IV
K00290,-4.53509287,1.40E-08,-5.095591269,1.23E-09,I_IV
K00293,-0.411653187,0.566037635,-3.681495587,2.09E-06,I_IV
K00294,0.867546948,0.077512285,-1.389322743,0.073504863,I_IV
K00297,-2.939019715,5.17E-05,-5.970049763,2.45E-23,I_IV
K00299,,,-0.505280723,0.596050118,I_IV
K00300,,,-0.389121874,0.613348668,I_IV
K00302,-2.866723506,0.000339519,-4.798641476,2.50E-08,I_IV
K00305,1.161619387,0.015054635,,,I_IV
K00311,0.978513685,0.028958657,,,I_IV
K00313,-4.615731338,4.73E-09,-5.589805661,6.83E-12,I_IV
K00317,-0.136347639,0.833329057,-3.560792767,9.89E-07,I_IV
K00318,0.613244826,0.421665018,-0.338440281,0.751036115,I_IV
K00320,1.125234744,0.018327653,,,I_IV
K00322,1.020654631,0.050568348,0.234627705,0.837144449,I_IV
K00324,-1.833603417,0.032451544,-4.424407506,1.47E-06,I_IV
K00325,-0.849404326,0.344613712,-4.895871992,5.22E-08,I_IV
K00330,-4.03238992,2.69E-06,-4.893490124,1.09E-11,I_IV
K00331,-3.677720735,1.23E-05,-4.418368248,5.94E-09,I_IV
K00332,-0.727976769,0.38012962,-3.093013945,4.50E-05,I_IV
K00333,-0.959176473,0.255874392,-3.51806301,1.11E-05,I_IV
K00334,-2.499598858,0.000365609,-3.147954701,2.35E-05,I_IV
K00335,-3.038707873,2.14E-05,-3.794343159,1.55E-07,I_IV
K00336,-3.97230647,6.83E-08,-4.556796527,6.38E-09,I_IV
K00337,-3.663774332,1.12E-05,-4.95001686,7.73E-10,I_IV
K00338,-5.441982447,5.82E-11,-4.536828441,8.26E-10,I_IV
K00339,-4.21843072,3.27E-07,-4.979647699,6.41E-11,I_IV
K00340,-4.082757888,1.64E-07,-4.517409475,3.72E-10,I_IV
K00341,-3.401912129,2.01E-05,-5.100047571,1.53E-09,I_IV
K00342,-4.029495566,5.76E-07,-5.183353221,9.89E-10,I_IV
K00343,-3.764913007,1.85E-06,-4.974770471,1.55E-09,I_IV
K00344,-0.014244737,0.985959513,-0.861753203,0.333371067,I_IV
K00346,-4.857789454,2.76E-08,-5.675856228,5.21E-12,I_IV
K00347,-4.29519731,2.73E-07,-4.763664051,4.18E-09,I_IV
K00348,-3.497930736,2.05E-05,-4.77662177,1.47E-10,I_IV
K00349,-4.179503661,1.01E-07,-4.328881831,2.15E-09,I_IV
K00350,-4.821573236,1.51E-10,-4.371348131,1.13E-09,I_IV
K00351,-4.501668951,2.73E-07,-4.751112165,1.13E-09,I_IV
K00353,-2.747407271,2.39E-05,-4.242836749,4.66E-08,I_IV
K00354,1.00251513,0.026566893,,,I_IV
K00355,1.469990773,0.006858554,-0.097090201,0.965546744,I_IV
K00356,-4.005076333,1.97E-08,-6.158146175,1.89E-15,I_IV
K00358,-3.183542422,2.63E-05,-4.028393774,1.43E-07,I_IV
K00359,-4.12439246,5.76E-09,-5.30938468,1.08E-22,I_IV
K00362,0.098692343,0.888158299,-2.315771538,0.004024134,I_IV
K00363,,,-0.241109952,0.844464255,I_IV
K00364,2.566355459,4.97E-05,4.218535721,1.75E-19,I_IV
K00366,0.636373601,0.205306791,-0.972523357,0.326706412,I_IV
K00368,0.101929596,0.904960773,0.24328473,0.906850363,I_IV
K00370,-0.877441925,0.357274523,-1.223051166,0.199365928,I_IV
K00371,0.165317315,0.845691451,-1.787921727,0.02426181,I_IV
K00372,1.164095105,0.015211037,,,I_IV
K00373,0.08326518,0.914618717,-0.612588577,0.467275852,I_IV
K00374,0.213614218,0.761132205,-1.279181427,0.062861815,I_IV
K00375,-2.546304799,0.000225651,-4.573774447,2.81E-11,I_IV
K00376,1.133580323,0.017075089,-0.122088038,0.923291989,I_IV
K00378,-3.56089336,4.56E-07,-4.579936403,1.52E-09,I_IV
K00380,-0.020108827,0.975358801,-1.614917135,0.076216085,I_IV
K00381,0.787471406,0.091055608,-1.617561953,0.04230309,I_IV
K00382,-3.915841755,6.99E-09,-4.485914483,7.45E-12,I_IV
K00383,0.685111888,0.44832827,0.475858318,0.751886086,I_IV
K00384,0.161129371,0.555681729,0.292034988,0.002318979,I_IV
K00385,0.921229831,0.075833091,-1.586000309,0.046544626,I_IV
K00386,0.603112365,0.220781165,-1.861352681,0.008694133,I_IV
K00389,,,0.42689277,0.573930884,I_IV
K00390,0.613083411,0.254921124,0.606437015,0.696813209,I_IV
K00394,0.895433929,0.048728464,,,I_IV
K00397,,,-0.072853271,0.957921482,I_IV
K00404,1.017294551,0.049558857,-0.3249526,0.67263923,I_IV
K00405,1.043957623,0.023710933,,,I_IV
K00406,1.08041871,0.022041515,,,I_IV
K00411,0.862132791,0.076329326,-0.13365545,0.913988615,I_IV
K00412,1.173393927,0.019181823,0.027015513,0.984739219,I_IV
K00413,0.956276691,0.036228522,,,I_IV
K00421,,,-0.161937845,0.898423755,I_IV
K00423,1.264678177,0.010077088,,,I_IV
K00425,0.327810601,0.469083289,3.986472502,6.09E-19,I_IV
K00426,0.602062243,0.286505504,2.755682559,1.59E-08,I_IV
K00427,0.895327191,0.073862485,0.047855954,0.973299355,I_IV
K00428,0.377434176,0.419408621,0.060321607,0.967602291,I_IV
K00432,-4.683965779,9.13E-10,-4.974943982,6.92E-12,I_IV
K00433,-0.36307728,0.48505766,-2.679360591,9.17E-05,I_IV
K00435,6.692908436,1.16E-13,9.094473961,2.96E-28,I_IV
