UID,SID,CST,Color,Timepoint,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
UAB119_W1D7,UAB119,I,#d44646,1,0.00222861,0.000169341,1.16E-05,,,6.85E-06,2.86E-05,0.000186302,0.000729813
UAB119_W3D7,UAB119,I,#d44646,2,0.001057905,2.63E-05,1.55E-05,1.84E-06,3.81E-06,3.06E-05,1.96E-05,0.000345422,8.19E-05
UAB119_W5D7,UAB119,I,#d44646,3,0.002621951,6.73E-05,1.36E-05,1.29E-05,2.45E-06,1.34E-05,4.61E-05,0.000523644,0.000608448
UAB119_W7D7,UAB119,I,#d44646,4,0.001779518,0.000423459,1.75E-05,6.14E-06,1.42E-06,1.86E-05,2.07E-05,0.000326691,0.000534016
UAB119_W9D7,UAB119,I,#d44646,5,0.00175032,3.67E-06,6.86E-07,3.63E-07,1.17E-07,2.44E-05,1.70E-05,0.001174128,5.81E-06
UAB122_W1D7,UAB122,I,#d44646,1,0.002560955,2.44E-06,1.66E-06,1.63E-07,,1.63E-05,2.09E-05,0.000712639,1.37E-06
UAB122_W3D4,UAB122,IV,#262fd4,2,0.00162588,4.21E-06,4.07E-06,2.12E-07,4.95E-08,2.40E-05,2.43E-05,0.001027117,1.38E-06
UAB122_W4D7,UAB122,III,#d48326,3,0.001062895,0.00058744,4.23E-05,1.35E-05,5.27E-06,1.43E-05,5.66E-05,0.000435488,0.000774218
UAB122_W6D5,UAB122,I,#d44646,4,0.001852658,6.59E-05,1.27E-05,6.85E-06,1.80E-06,3.03E-05,4.88E-05,0.000933606,0.000108117
UAB122_W9D6,UAB122,III,#d48326,5,0.001485788,0.000654178,6.84E-05,6.06E-05,3.56E-06,9.92E-06,0.000154606,0.000424264,0.001195179
UAB129_W1D7,UAB129,IV,#262fd4,1,0.001863999,7.20E-05,0.000237231,4.53E-06,2.37E-06,0.000279103,0.000671746,0.000981614,0.000139433
UAB129_W3D3,UAB129,III,#d48326,2,0.001630952,0.000643134,0.000123856,0.000167762,,,0.000134721,0.000336618,0.000976144
UAB129_W5D7,UAB129,IV,#262fd4,3,0.0012496,0.001203255,7.32E-05,6.11E-05,,1.11E-06,4.90E-05,0.000485009,0.000753264
UAB129_W7D7,UAB129,IV,#262fd4,4,0.003051298,3.60E-05,0.000293611,6.18E-06,3.05E-06,0.000647868,0.000639004,0.002165713,5.68E-05
UAB129_W10D2,UAB129,III,#d48326,5,0.000564319,0.001125207,7.11E-05,5.91E-05,2.92E-05,1.18E-05,7.08E-05,0.000241012,0.000544543
