UID,SID,CST,Color,Timepoint,Glycogen_debranch,Glycogen_phosphorylase,Sialidase,Fucosidase,Nactylgalactosaminidase,Alpha_galactosidase,Beta_galactosidase,Sulfatase,Cytolysin
AYAC09_W9D7,AYAC09,I,#d44646,5,0.001918129,1.97E-07,7.61E-07,2.01E-07,3.53E-07,0.000117136,4.36E-05,0.000910536,1.40E-06
AYAC10_W1D7,AYAC10,I,#d44646,1,0.001325395,1.02E-05,3.02E-06,1.17E-06,4.87E-07,4.02E-05,1.22E-05,0.000912914,2.46E-05
AYAC10_W2D7,AYAC10,III,#d48326,2,0.003200134,3.90E-05,1.29E-06,4.78E-07,4.35E-08,2.64E-06,5.11E-06,0.000216901,0.000432745
AYAC10_W5D4,AYAC10,I,#d44646,3,0.002556188,5.15E-05,1.41E-05,6.15E-06,,1.05E-05,6.45E-05,0.000514337,0.000324807
AYAC10_W8D1,AYAC10,I,#d44646,4,0.001798645,0.000200821,0.000253409,9.33E-05,0.000139459,8.92E-06,0.000201096,0.000102023,0.00019735
AYAC10_W9D5,AYAC10,I,#d44646,5,0.00230673,0.000279791,,,,4.11E-07,,0.000226993,0.000463904
EM04_W1D7,EM04,V,#525254,1,0.009207446,0.000197573,,,,1.33E-05,2.79E-06,0.000734253,0.00025521
EM04_W3D7,EM04,V,#525254,2,0.008784082,3.81E-05,,,,0.000338752,1.48E-06,0.002555816,0.000452367
EM09_W2D3,EM09,I,#d44646,1,0.003064612,0.000248115,5.99E-08,,7.16E-07,1.75E-07,3.10E-05,1.41E-06,0.004654664
EM09_W4D4,EM09,I,#d44646,2,0.000430932,0.001031316,,,,0.001147081,1.65E-06,0.000746571,0.000438023
EM09_W6D7,EM09,I,#d44646,3,0.001514015,7.15E-07,,,8.70E-07,1.97E-07,4.94E-06,0.000315741,0.002156395
EM09_W8D5,EM09,IV,#262fd4,4,0.000935678,0.000214071,3.20E-05,,,3.37E-05,2.33E-05,0.0001833,0.000254804
EM09_W9D6,EM09,I,#d44646,5,0.002494004,0.000132867,4.25E-07,,,9.62E-05,9.14E-05,0.001787608,0.001100823
EM10_W1D7,EM10,III,#d48326,1,0.0047381,1.45E-05,3.75E-06,,,2.45E-07,,0.000682911,0.00034185
EM10_W3D2,EM10,III,#d48326,2,0.005297422,1.66E-05,,,,1.26E-07,,0.000220284,0.000556624
EM10_W4D7,EM10,III,#d48326,3,0.004594487,2.60E-06,,,,,5.12E-06,0.000205051,0.000439329
EM10_W6D5,EM10,III,#d48326,4,0.00636322,3.80E-06,,,6.16E-06,,,0.000196402,0.000467878
EM10_W8D7,EM10,III,#d48326,5,0.004600453,6.47E-07,,,,6.12E-07,8.13E-07,0.000288952,0.00037882
EM11_W1D7,EM11,I,#d44646,1,0.000956025,5.88E-07,1.35E-07,,,2.62E-05,2.19E-05,0.000640802,7.03E-06
EM11_W3D6,EM11,I,#d44646,2,0.0006032,,,,,1.76E-05,5.56E-06,0.000223723,2.63E-05
EM11_W5D7,EM11,I,#d44646,3,0.003821678,6.64E-07,,,,6.99E-05,5.03E-05,0.00102245,1.01E-05
EM11_W7D7,EM11,I,#d44646,4,0.001741627,6.97E-07,,5.20E-07,,4.14E-05,1.85E-05,0.000740394,9.22E-06
EM11_W9D7,EM11,I,#d44646,5,0.001164332,2.06E-07,7.88E-07,8.87E-07,3.99E-07,8.63E-05,3.92E-05,0.000704862,0
UAB002_W1D4,UAB002,I,#d44646,1,0.003177322,0.000301359,2.24E-06,,7.30E-07,3.77E-05,9.11E-05,0.000470616,0.000226125
UAB002_W5D7,UAB002,I,#d44646,3,0.001020178,3.67E-06,1.30E-06,7.30E-07,3.03E-06,4.59E-05,7.83E-05,0.000623271,2.52E-06
UAB002_W7D7,UAB002,I,#d44646,4,0.003484677,1.17E-06,5.83E-07,3.42E-07,7.16E-07,3.23E-05,0.000114643,0.000778518,1.14E-06
UAB002_W9D7,UAB002,I,#d44646,5,0.003288244,7.81E-07,3.10E-07,,,4.37E-05,0.000190306,0.000410857,1.24E-06
UAB006_W2D2,UAB006,III,#d48326,1,0.003549584,0.000154896,8.10E-06,3.81E-06,5.72E-06,1.40E-06,5.58E-06,0.00028084,0.00034208
UAB006_W7D7,UAB006,IV,#262fd4,4,0.001118353,0.001002405,0.00025492,3.85E-05,2.66E-06,2.49E-05,0.000188099,0.000541879,0.001507406
UAB006_W9D7,UAB006,IV,#262fd4,5,0.00111467,0.000674236,0.000120626,3.67E-05,5.19E-06,1.86E-05,0.000190499,0.000571129,0.000808748
UAB007_W1D7,UAB007,III,#d48326,1,0.001912404,0.001238837,0.000303264,1.66E-05,3.74E-06,3.08E-06,3.87E-05,0.000133561,0.000830971
UAB007_W6D3,UAB007,III,#d48326,3,0.001871795,0.000140724,4.18E-05,9.48E-05,1.41E-06,4.38E-06,6.72E-05,0.000334798,9.38E-05
UAB007_W7D7,UAB007,V,#525254,4,0.005167734,2.71E-06,4.95E-06,6.09E-07,7.50E-06,2.13E-07,9.24E-06,0.00010292,0.000372682
UAB007_W9D7,UAB007,V,#525254,5,0.001920223,4.71E-05,2.99E-06,7.90E-07,3.26E-07,,5.40E-06,6.04E-05,2.32E-05
UAB010_W3D1,UAB010,I,#d44646,2,0.005172482,4.77E-07,1.33E-07,1.87E-07,,,2.40E-05,0.000502013,9.70E-06
UAB010_W5D6,UAB010,I,#d44646,3,0.001826807,1.27E-05,2.26E-06,,1.17E-07,1.17E-06,4.62E-05,0.000331726,4.21E-05
UAB010_W7D5,UAB010,III,#d48326,4,0.003718611,1.77E-05,3.52E-07,1.69E-07,4.70E-08,,2.78E-07,0.000153037,0.000727216
