VOG,AYAC02_W3D1,AYAC03_W1D7,AYAC03_W7D5,AYAC05_W7D7,EM09_W2D3,EM09_W8D5,UAB006_W7D7,UAB006_W9D7,UAB015_W1D5,UAB015_W3D1,UAB015_W9D4,UAB015_W10D7,UAB022_W2D1,UAB022_W4D1,UAB022_W6D1,UAB028_W1D7,UAB028_W3D7,UAB028_W5D5,UAB028_W7D7,UAB028_W9D7,UAB035_W5D7,UAB035_W9D7,UAB039_W1D7,UAB039_W5D7,UAB039_W7D7,UAB048_W1D7,UAB048_W3D7,UAB048_W9D7,UAB060_W1D6,UAB060_W3D7,UAB060_W5D7,UAB060_W7D7,UAB071_W3D7,UAB071_W7D7,UAB071_W10D2,UAB077_W1D7,UAB077_W3D1,UAB077_W5D7,UAB077_W8D2,UAB077_W9D7,UAB079_W2D2,UAB079_W3D7,UAB079_W6D7,UAB079_W10D1,UAB082_W2D5,UAB082_W3D7,UAB082_W5D7,UAB082_W10D2,UAB088_W2D1,UAB088_W7D6,UAB110_W1D7,UAB110_W6D2,UAB110_W7D7,UAB116_W1D7,UAB116_W6D7,UAB117_W9D6,UAB122_W9D6,UAB129_W5D7
jaccard_304441,101.7826826,3.207204123,3.909796777,26.1667616,0,479.7362455,0,1.22627276,35.56313279,34.96069218,18.52824026,26.7727873,0,0,0,0,0,0,0,0,0,0,0,68.12460759,43.52992497,105.0349065,108.3172674,116.36753,0,3.325261915,23.99832652,1.938266755,10.54215304,45.57887645,24.19728321,18.31027086,53.25195915,9.975122625,137.710227,74.23683066,1.448613977,7.670047817,3.862963799,2.184111896,0,20.93133023,2.437410359,5.619851094,14.36668846,12.20814715,99.87244393,72.3872337,15.40708639,0.198274483,0.303075792,15.29114466,0,0
jaccard_30458,9.207315034,654.5007738,1195.981718,27.8692453,0,0,1157.209896,681.4384541,427.6155506,314.8006867,326.019244,388.2749792,104.4705881,406.9693721,668.7171975,535.0010103,26.96781249,444.6843349,38.34279127,0,358.1074345,13.0624013,74.04402645,400.5205004,102.9593365,171.5409109,119.9277458,109.3311416,476.5202348,1103.796063,528.090876,386.9405099,613.1611866,321.3063327,286.4021402,303.4045504,285.0540031,470.9789628,226.2917678,370.9546013,483.481983,934.7520188,283.2055725,238.5875023,1132.600997,318.3135076,296.2750168,242.1411787,407.8471251,322.7293104,0,0.399073049,0,288.1188895,5165.659227,216.7890882,670.8061509,136.9628105
jaccard_30495,480.7460932,961.9094393,1812.425015,999.9487548,0,0,1307.396511,2096.546493,1105.252404,752.1164027,3213.346962,1237.08622,788.9731711,1206.458483,364.3295767,502.9669588,538.6823283,1161.857138,359.5435022,432.8143367,366.0106625,1640.969908,1196.400309,901.7075552,920.6454275,443.5712478,691.0111497,894.0369077,1067.410367,1576.040322,917.5556666,1495.147946,476.6201463,789.9176223,655.5435831,224.8013497,1707.592803,550.5367499,1221.171743,729.233945,1979.869673,769.8255468,662.8082742,1447.550885,677.3929984,940.1527506,497.9404705,1314.904087,1296.362448,1379.943839,485.228443,300.6212244,512.0684498,804.6016923,1641.073961,222.033861,394.5381306,847.0132683
jaccard_3067,39.12754662,35.96474323,44.99587586,44.42598318,0,0,40.06109886,102.5183801,32.10457262,343.0315092,144.5380476,65.64491207,1.828471224,18.56520679,0,113.8848483,2.325025789,95.86894781,0,229.5621426,440.3363552,3.792864409,0,250.8961341,2.861865396,51.40582329,35.68150416,53.63299959,33.83182608,62.56495524,40.55551755,11.51243395,66.25613479,59.56715068,41.20230908,4.884353558,41.8426355,21.90123447,143.0346631,34.17556214,128.0334623,67.71633247,32.9550329,44.16776447,33.79457569,45.00717681,28.22018729,57.61261855,104.4799741,19.24735713,219.0253291,101.5855673,56.58205797,18.95136207,28.72814449,56.5802673,56.58259993,383.7905973
jaccard_3070,407.3829371,181.6273983,95.37517822,110.3468894,0,423.0444177,370.3530715,371.2300178,277.388281,213.3555238,325.6262963,306.0393824,694.1032381,166.5106666,114.9981333,320.3931403,15.49357611,256.7149335,216.8711444,346.5995811,1.114444636,98.05403366,153.2079167,717.5893376,344.463279,310.4706736,320.7831332,260.5452478,150.6623779,123.184571,200.8318898,87.14058449,301.0410468,222.7372106,166.1982643,220.7761498,235.1124952,122.3725939,274.2671296,235.1359239,167.5285188,235.7123685,70.98316376,88.53143528,109.7659341,232.5611332,198.4511161,137.5672838,308.6385614,108.4403109,284.9753074,345.2861011,105.3005353,254.1160276,278.4340143,267.1907694,121.7219884,220.7383012
jaccard_30700,4.356149049,1554.265961,112.2569165,3.978457021,5830.605587,56.07120544,266.1728805,501.0877256,656.8455581,266.9914462,312.8329274,970.8297871,609.6898266,751.3073514,20.3620866,265.5549592,6794.515104,781.2065188,1330.431971,236.3345989,10.78437224,48.29683071,0,0,399.0254031,206.8564093,186.2395301,69.55571697,167.6987182,285.2003603,589.1210106,488.6474449,415.5463962,106.5626649,237.0805004,119.7931494,105.3233329,531.4502642,117.2848677,297.6798452,187.5535603,444.9965026,445.8754198,140.9740493,35.42194074,284.6775749,244.2046575,350.6528808,129.4270397,280.212439,24.07284007,0,0,1602.047156,1566.976625,119.5609713,255.6249316,0
jaccard_307269,26.8960572,2.003057747,2.266732237,7.525496814,0,0,0,1.031222459,4.152747522,38.06532617,25.71969662,14.15309185,0,0,0,0,0,0.047821332,0,0,2.364449436,0,141.1227738,96.73217264,5.432794268,97.83962801,45.33089036,40.26843612,6.377029468,0,0,0,0,2.428706663,4.435135735,0,29.13736135,0.659323576,61.45985394,10.17178669,6.009222624,0,0.909419367,1.098755898,0,15.91059481,0,0,0,15.89685164,102.3761618,164.7008976,6.781000965,2.271813342,1.434954207,80.99791915,0,0
jaccard_308498,0,100.8914493,168.5513412,0,0,2125.122403,57.31424641,90.62115376,17.57907998,15.75054593,11.01148939,22.41306546,0,258.1228815,0,0,0,0,0,0,0,153.4824652,0,0,3.550653339,27.9943078,53.01937444,20.49765676,77.70300718,4.895046154,19.98341751,34.13500197,537.4357986,48.7483422,100.3144455,496.7814357,22.45789999,156.0597561,17.87376734,63.2812077,8.473228395,26.24560819,10.63932366,14.98868894,56.61027817,87.4068498,148.6039648,103.1744935,5.868760406,49.23282276,0,4.85848524,11.27393235,82.59302791,57.60352615,19.28191077,0,1.553203458
jaccard_30872,0,3.603796422,5.827013003,0,0,0,8.369953313,143.9608053,7.996207136,182.3144726,112.0878658,35.46739333,0,0,0,0,0,0.553197167,0,0,0,0,0,0,0,0.570559986,0,2.59847218,0,3.969998062,15.56783827,8.321544858,37.2923872,70.94256191,20.1491702,33.56127786,21.08647763,100.299262,26.66128464,10.25658723,0,8.392904515,0,0,14.3684618,27.03314222,1888.360139,23.39681426,0,23.87460348,0,0.487057658,0,0,16.52894629,25.27141371,43.60467571,0
jaccard_309311,0,188.5877243,14.28755029,0,39.09448072,0,51.33633548,47.17590495,89.02818149,81.18452645,76.91352031,156.2244906,0,433.9516079,140.4623938,0,0,32.88347261,160.3483571,0,0,0,83.53852681,0,80.76172946,0,0,0,75.36524793,102.5218851,201.0273823,192.9304436,5.701502446,4.11320377,6.460421284,0,0.64921799,0,0,0.132788978,0,2.028147849,0,5.718524725,9.513625656,7.526582618,1.38576665,74.66514943,10.59220935,201.0541501,0,0.243050383,0,275.0288814,153.5813437,0,138.1528625,0
