VOG,AYAC02_W1D7,AYAC02_W3D1,AYAC02_W5D6,AYAC02_W9D3,AYAC03_W8D6,AYAC03_W9D7,AYAC09_W1D7,AYAC09_W5D7,AYAC09_W9D7,AYAC10_W1D7,AYAC10_W2D7,AYAC10_W9D5,EM09_W2D3,EM09_W4D4,EM09_W6D7,EM09_W9D6,EM10_W8D7,EM11_W1D7,EM11_W7D7,EM11_W9D7,UAB002_W1D4,UAB002_W5D7,UAB002_W7D7,UAB002_W9D7,UAB010_W3D1,UAB010_W5D6,UAB028_W1D7,UAB028_W3D7,UAB028_W5D5,UAB028_W7D7,UAB028_W9D7,UAB035_W3D6,UAB035_W5D7,UAB035_W7D4,UAB035_W9D7,UAB038_W2D2,UAB038_W3D7,UAB093_W1D7,UAB093_W4D2,UAB093_W5D7,UAB093_W7D7,UAB093_W9D6,UAB119_W5D7,UAB119_W7D7,UAB119_W9D7,UAB122_W1D7,UAB122_W3D4,UAB122_W6D5
jaccard_221678,52.08947532,61.45082995,69.27745916,72.30906873,118.9433791,74.2816943,39.42448270000001,91.37653468,55.17560366,94.95468884,188.3592114,0.0,0.0,0.0,0.0,0.0,0.0,29.50074259,45.07768046,61.56207605,50.8131494,64.4538811,50.84531608,164.7222401,25.9097714,61.2278893,23.66238123,0.0,65.18666456,24.09938086,0.0,0.0,0.0,0.0,20.71332694,309.1564620000001,3.177067128,49.99024498,59.9326481,84.53610392,134.9431804,98.49756456,81.22421967,270.005018,88.79896263,124.9467439,84.36940349,106.2420453
jaccard_22188,2595.497264,2850.240869,3490.526628,3294.878329,2559.19262,2830.969353,4062.395495,3623.5552060000014,2775.50997,5363.571623,2567.306654,1287.497566,8.949769185,2841.164744,1378.0987289999996,38.40558876,3905.677388,2607.259305,2664.999772,2394.825887,2535.695479,1116.717626,3276.436929,3114.648382,661.0093863,1745.2029710000004,3496.282432,1826.803556,3437.003654,3180.053843,2072.754204,285.3150482,2.591732025,1793.038554,1318.237764,863.3598994999999,3.2649701710000003,2773.603805,3330.023674,4345.69866,5957.810676,5730.673581,2893.679710000001,2784.977908,3615.577712,7308.667095999999,3971.08819,3478.055901
jaccard_222065,15.303254824000001,35.356296359,33.490003648000005,27.61153517,15.849690738,21.058788659,10.994836439,26.612786596000003,16.941712167000002,25.919796479000002,30.689600575,0.0,0.0,0.0,0.0,1.53312095,422.0696282,48.37940888999999,21.087756885999998,37.87961122,40.3099863,26.67422147,48.834157864,37.856649002,16.415476293,24.858267868000002,25.677688717,5.706254586,290.21523039999994,10.36100744,73.88285908,0.0,0.0,0.0,0.0,0.0,0.0,56.32594772,20.813242384000002,33.332418037,9.480614836,23.58775068,27.32336715,53.710926347,27.369383139,13.082259079000002,34.098210643,30.881091071
jaccard_22214,97.73914646,108.1257055,44.35767167,68.60103217,158.11929419999996,308.9298176000001,97.76898167,152.0135417,104.480563,119.8982682,164.3402515,0.0,0.0,0.0,142.7960794,0.0,31.43027384,160.6107543,106.306524,190.6116661,91.27510058,59.74961293,29.57445678,0.0,83.93558834,58.12129303,66.20059401,3.1945292660000004,180.6518372,40.18360597,0.0,0.0,0.0,0.0,3.872577903,0.0,0.0,172.56626730000005,28.24231668,74.35719853,34.2655694,51.76956171,157.4817085,111.5880859,175.0593822,94.42312947,184.3303974,115.5429218
jaccard_22274,16.791325396999998,40.63479853,14.40750104,36.207949675,11.89536603,25.97468189,9.699834363999999,15.52104239,12.08664898,13.48493505,45.274597526,0.0,0.0,0.0,0.0,0.0,0.0,55.85901477,13.95336617,44.82101043,76.02478874,46.9611328,19.430224016,87.84029306,8.537241893,15.22710986,9.671562577000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.57439414,120.48278836,33.28487502,9.788706771000001,31.03193804,18.35190858
jaccard_222751,70.55433433,67.07058297,37.84922519,71.98277319,109.1083107,285.613393972,115.1573788,173.0306007,116.219553402,24.46281176,35.55495495,0.0,0.0,0.0,0.0,0.0,0.0,317.6108117,91.73003097,162.022530142,32.83699795,0.0,49.18335119,0.0,323.7862294,603.517268287,0.0,0.0,38.56321453,1.989155246,0.0,221.9232779,21.10931838,0.0,0.0,0.0,0.0,173.1138,312.941983692,166.1331712,164.8655325,152.10043059999995,56.65539132,93.6711256,70.74511484,107.591479655,156.2606628,70.17030848
jaccard_22302,1500.665529,2851.097691,2699.6902600000008,1329.724735,7275.640665000001,5117.749257,3177.101566,4278.447715,4234.880281000002,4310.561498,1264.063928,3105.730906,1638.10682,1171.779735,539.3398525,86.22193021,1031.090816,3137.561819,3053.530717,3983.707927,1656.804262,915.970515,1849.938072,2343.854016,920.4179081,3081.873047,3123.975893,3251.099546,2012.153115,3021.901161,1799.355111,1027.301074,1656.553273,1053.276325,658.2787021,1012.437871,3006.959216,3691.181682,1282.064562,2506.1119710000007,2618.20707,13825.24962,3820.292897,1594.492636,2139.131766,2794.739325,2933.54945,4642.292399
jaccard_22310,27.999588949000007,35.11288347,58.34751579,38.51904478,67.29072632,74.68601773,69.69496646,88.93723631200001,58.553412566999995,80.03001744,77.48763324,1.912224253,0.0,0.0,82.74609221,525.60665003,0.0,114.7769899,62.05579488,86.24703904,16.77285507,1.255846005,19.04120776,5.4293135260000005,74.963270752,102.0053699,56.08777366,0.0,44.902240504,60.15611037,55.17439744,0.0,0.0,2143.836205957,353.3115959,173.765445637,0.0,57.25605683,66.482741351,152.06486057,47.41346122,174.0661505,54.66271568,85.06027073,51.994942958,46.718219861,82.2431608,93.588457
jaccard_223143,156.1443639,121.6260751,236.2949129,183.7779363,202.2157298,229.6831516,1568.36374,180.5998286,133.4098223,130.8592876,159.07189440000005,0.0,0.0,0.0,689.3674217,2.112766679,48.11415207,136.5924794,132.63311140000002,147.40034330000003,175.655448,138.0957512,200.170304,286.01821980000005,252.8426983,242.4959911,137.6465871,278.7445588,221.4743519,184.064982,150.7355337,12.81568929,0.0,0.0,0.878255872,0.0,0.0,240.9446441,154.1012342,215.3910022,258.2210607,231.4099408,192.8611608,169.55614330000003,137.613785,170.3125438,101.2371913,134.2207407
jaccard_223194,250.9379758,194.6253784,267.7538774,179.5310221,151.4834867,140.2111676,173.22127759999995,227.30858140000004,133.2104533,135.1713788,275.0467635,3.570436628,0.0,619.2697792,237.7568621,540.9628713,30.28877633,300.1678543,306.8606309,321.92909439999994,1217.909551,608.8847517,462.00365210000007,1346.211794,313.899976,98.08159556,170.3679774,1613.37555,205.8239629,228.2481422,409.5519534,0.0,159.1036107,0.0,0.38276226,456.5978712,0.0,195.6788824,137.43036,130.88615729999998,60.68323819,224.2719228,190.1197087,179.7771039,197.1545385,91.52138342,195.5791852,191.3519875
